Start Training
| epoch   1 | 590000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  8.15 | ppl  3477.58
| epoch   1 | 600000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.14 | ppl  3419.15
| epoch   1 | 610000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.14 | ppl  3415.31
| epoch   1 | 620000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  8.13 | ppl  3392.83
| epoch   1 | 630000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  8.12 | ppl  3370.24
| epoch   1 | 640000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  8.13 | ppl  3388.75
| epoch   1 | 650000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  8.14 | ppl  3419.62
| epoch   1 | 660000/1202229 batches | lr 0.01 | ms/batches 74.56 | loss  8.15 | ppl  3448.75
| epoch   1 | 670000/1202229 batches | lr 0.01 | ms/batches 74.57 | loss  8.15 | ppl  3460.90
| epoch   1 | 680000/1202229 batches | lr 0.01 | ms/batches 74.56 | loss  8.15 | ppl  3479.37
| epoch   1 | 690000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  8.16 | ppl  3488.83
| epoch   1 | 700000/1202229 batches | lr 0.01 | ms/batches 74.58 | loss  8.15 | ppl  3479.76
| epoch   1 | 710000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  8.16 | ppl  3492.46
| epoch   1 | 720000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  8.16 | ppl  3497.26
| epoch   1 | 730000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  8.16 | ppl  3505.06
| epoch   1 | 740000/1202229 batches | lr 0.01 | ms/batches 74.55 | loss  8.16 | ppl  3508.61
| epoch   1 | 750000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  8.16 | ppl  3511.48
| epoch   1 | 760000/1202229 batches | lr 0.01 | ms/batches 74.54 | loss  8.17 | ppl  3519.28
| epoch   1 | 770000/1202229 batches | lr 0.01 | ms/batches 74.52 | loss  8.17 | ppl  3519.04
| epoch   1 | 780000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.17 | ppl  3521.08
| epoch   1 | 790000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.17 | ppl  3517.81
| epoch   1 | 800000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.17 | ppl  3516.82
| epoch   1 | 810000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.16 | ppl  3513.26
| epoch   1 | 820000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.16 | ppl  3504.56
| epoch   1 | 830000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.16 | ppl  3505.22
| epoch   1 | 840000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.16 | ppl  3497.08
| epoch   1 | 850000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.16 | ppl  3497.94
| epoch   1 | 860000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.16 | ppl  3492.75
| epoch   1 | 870000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.15 | ppl  3448.92
| epoch   1 | 880000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.15 | ppl  3447.60
